Title,Genre,Year,Rating,Director,Cast,Duration,Language,Country of Origin,Revenue,Budget
Avatar: The Way of Water,Science Fiction,2022,7.752,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis, Joel David Moore, CCH Pounder, Edie Falco, Jemaine Clement, Giovanni Ribisi, Britain Dalton, Jamie Flatters, Trinity Bliss, Jack Champion, Brendan Cowell, Bailey Bass, Filip Geljo, Duane Evans Jr., Dileep Rao, Matt Gerald, Robert Okumu, Jennifer Stafford, Keston John, Kevin Dorman, Alicia Vela-Bailey, Sean Anthony Moran, Andrew Arrabito, Johnny Alexander, Kim Do, Victor T. Lopez, Maria Walker, Phil Brown, Jocelyn Christian, Joel Tobeck, Moana Ete, Phil Peleton, Jamie Landau, Jim Moore, Benjamin Hoetjes, Nikita Tu Bryant, Anthony Ahern, Shane Rangi, Rick Lucas, Tanya Drewery, Ava Diakhaby, Isaac Te Reina, Eric Farmer, Philip Mtambo, Daniel Lough, Cruz Moir, Alex Lucas, Scarlett Fernandez, Chloe Coleman, Jeremy Irwin, Jake McLean, CJ Jones",192,en,United States of America,2310416014,460000000
Creed III,Drama,2023,7.29,Michael B. Jordan,"Michael B. Jordan, Tessa Thompson, Jonathan Majors, Wood Harris, Phylicia Rashād, Mila Davis-Kent, Florian Munteanu, José Benavidez Jr., Selenis Leyva, Thaddeus J. Mixson, Spence Moore II, Tony Bellew, Ann Najjar, Patrice Harris, Jacob 'Stitch' Duran, Michelle Davidson, Sage Shirley, Eric Daniel Stumpp, Leah Haile, Pete Penuel, Julia Llamas, James Sanders III, Teófimo López, Stephen A. Smith, Barry Pepper",116,en,United States of America,258000000,75000000
Winnie the Pooh: Blood and Honey,Horror,2023,5.913,Rhys Frake-Waterfield,"Craig David Dowsett, Chris Cordell, Amber Doig-Thorne, Natasha Tosini, Maria Taylor, Nikolai Leon, May Kelly, Danielle Ronald, Danielle Scott, Natasha Rose Mills, Paula Coiz, Simon Ellis, Richard D. Myers, Jase Rivers, Bao Tieu, Marcus Massey, Gillian Broderick, Richard Harfst",84,en,United Kingdom,3200000,100000
Mummies,Animation,2023,7.167,Juan Jesús García Galocha,"Óscar Barberán, Ana Esther Alborg, Luis Pérez Reina, María Luisa Solá, Jaume Solà, José Luis Mediavilla, José Javier Serrano Rodríguez, Aleix Estadella, María Moscardó, Juan Carlos Gustems, Roberto Cuenca Martínez, Luis Torrelles Gallego, Roser Aldabó Arnau, Francesc Belda, Pilar Esteras Casanova, Judith Güell Muñoz, Rafael Parra, Joe Thomas, Eleanor Tomlinson, Celia Imrie, Hugh Bonneville, Sean Bean, Shakka, Santiago Winder, Dan Starkey, Oliver Lidert, Rachel Adedeji, Karina Pasian",88,es,Spain,34200000,12300000
John Wick: Chapter 4,Action,2023,8.036,Chad Stahelski,"Keanu Reeves, Donnie Yen, Bill Skarsgård, Ian McShane, Laurence Fishburne, Lance Reddick, Clancy Brown, Hiroyuki Sanada, Shamier Anderson, Rina Sawayama, Scott Adkins, Aimée Kwan, Marko Zaror, Natalia Tena, George Georgiou, Vhelma Richardson, Jackey Mishra, Brahim Achabbakhe, Selman Iyi, Lous and the Yakuza, Daiki Suzuki, Yoshinori Tashiro, Hiroki Sumi, Julia  Asuka Riedl, Milena Rendón, Ivy Quainoo, Irina Trifanov, Iryna Fedorova, Raicho Vasilev, Andrej Kaminsky, Robert Bess, Mako Sanjō",169,en,United States of America,244878306,90000000
Supercell,Action,2023,6.278,Herbert James Winterstern,"Skeet Ulrich, Anne Heche, Daniel Diemer, Jordan Kristine Seamón, Alec Baldwin, Richard Gunn, Praya Lundberg, Johnny Wactor, Anjul Nigam, Gabriel Clark",100,en,N/A,N/A,N/A
Cocaine Bear,Thriller,2023,6.5,Elizabeth Banks,"Keri Russell, Alden Ehrenreich, O'Shea Jackson Jr., Ray Liotta, Kristofer Hivju, Margo Martindale, Christian Convery, Isiah Whitlock Jr., Jesse Tyler Ferguson, Brooklynn Prince, Kahyun Kim, Scott Seiss, Ayoola Smart, Aaron Holliday, Conor Lambert, Shane Connellan, J.B. Moore, Leo Hanna, Oisín Nolan, Christopher Livingston, Matthew Rhys, Chloe Harris, Hannah Hoekstra, Paul Reubens",95,en,Ireland,80000000,35000000
The Super Mario Bros. Movie,Animation,2023,7.905,Michael Jelenic,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key, Seth Rogen, Fred Armisen, Kevin Michael Richardson, Sebastian Maniscalco, Charles Martinet, Khary Payton, Eric Bauza, Jessica DiCicco, Jeannie Elias, Juliet Jelenic",92,en,Japan,N/A,75000000
Puss in Boots: The Last Wish,Animation,2022,8.308,Joel Crawford,"Antonio Banderas, Salma Hayek, Harvey Guillén, Wagner Moura, Florence Pugh, Olivia Colman, Ray Winstone, Samson Kayo, John Mulaney, Da'Vine Joy Randolph, Anthony Mendez, Kevin McCann, Bernardo de Paula, Betsy Sodaro, Artemis Pebdani, Conrad Vernon, Cody Cameron, Kailey Crawford, Al Rodrigo, Bob Persichetti, Miguel Matrai, Pilar Uribe, Heidi Gardner, Joel Crawford, Januel Mercado, James Ryan, Natalia Cronembold, Paul Fisher, Aydrea Walden",103,en,United States of America,463087575,90000000
The Park,Action,2023,6.417,Shal Ngo,"Chloe Guidry, Nhedrick Jabier, Carmina Garay, Billy Slaughter, Carli McIntyre, Laura Coover, Presley Richardson, Sean Papajohn, Legend Jay Jones, Evan Soto, Makaila Faith Nixon",80,en,United States of America,N/A,N/A
